,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Cidreira,BR,1614950872,-30.1811,-50.2056,75.97,80,90,14.05
1,Eilat,IL,1614950852,29.5581,34.9482,73.4,33,0,12.66
2,Maţāy,EG,1614950872,28.419,30.7792,75.27,18,0,12.95
3,Cabo San Lucas,MX,1614950873,22.8909,-109.9124,63.0,88,75,3.44
4,Saskylakh,RU,1614950873,71.9167,114.0833,-30.39,95,0,8.1
5,Kruisfontein,ZA,1614950873,-34.0033,24.7314,75.99,65,0,7.0
6,Novominskaya,RU,1614950873,46.3163,38.9586,51.01,55,21,15.95
7,Punta Arenas,CL,1614950873,-53.15,-70.9167,57.2,62,0,21.85
8,Ola,RU,1614950873,59.5833,151.2833,-17.59,89,30,3.49
9,Mandera,KE,1614950873,3.9366,41.867,100.92,17,100,16.53
10,Clyde River,CA,1614950623,70.4692,-68.5914,-20.2,69,1,20.71
11,Albany,US,1614950873,42.6001,-73.9662,18.0,40,83,1.99
12,Bluff,NZ,1614950874,-46.6,168.3333,48.99,81,35,1.99
13,Smithers,CA,1614950874,54.7804,-127.1743,28.4,80,1,3.44
14,Mataura,NZ,1614950874,-46.1927,168.8643,48.99,81,26,1.99
15,Puerto Ayora,EC,1614950874,-0.7393,-90.3518,77.0,98,1,3.83
16,Kavieng,PG,1614950591,-2.5744,150.7967,82.65,79,82,9.13
17,Avarua,CK,1614950874,-21.2078,-159.775,77.0,100,75,1.14
18,Umba,RU,1614950874,66.6871,34.3429,16.59,93,19,4.52
19,Ulladulla,AU,1614950874,-35.35,150.4667,64.0,67,90,9.22
20,Verkhoyansk,RU,1614950640,67.5447,133.385,-24.0,99,78,1.9
21,Rūdbār,AF,1614950874,30.15,62.6,81.97,16,0,0.94
22,Butaritari,KI,1614950875,3.0707,172.7902,80.82,79,91,17.58
23,Rikitea,PF,1614950591,-23.1203,-134.9692,79.93,83,0,11.12
24,Abu Samrah,SY,1614950875,35.3029,37.1841,60.53,51,0,19.37
25,Atuona,PF,1614950875,-9.8,-139.0333,79.12,71,100,11.32
26,Soller,ES,1614950875,39.7662,2.7152,62.01,52,65,3.0
27,Upernavik,GL,1614950875,72.7868,-56.1549,-14.69,82,38,17.38
28,Bandarbeyla,SO,1614950715,9.4942,50.8122,80.17,57,8,12.8
29,Lompoc,US,1614950835,34.6391,-120.4579,46.0,93,1,4.61
